"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","566","TC_API_001 | Create user - POST /api/users","api","2026-05-23","passed","2026-05-23","API | Users CRUD Scenarios","api\users.spec.js","",""
"","287","TC_API_004 | Delete user - DELETE /api/users/{id}","api","2026-05-23","passed","2026-05-23","API | Users CRUD Scenarios","api\users.spec.js","",""
"","313","TC_API_NEG_003 | Retrieve non-existing user should return 404","api","2026-05-23","passed","2026-05-23","API | Users Negative Scenarios","api\users.spec.js","",""
"","401","TC_API_002 | Read user - GET /api/users/{id}","api","2026-05-23","passed","2026-05-23","API | Users CRUD Scenarios","api\users.spec.js","",""
"","205","TC_API_NEG_002 | Invalid payload should be handled","api","2026-05-23","passed","2026-05-23","API | Users Negative Scenarios","api\users.spec.js","",""
"","196","TC_API_NEG_001 | Invalid endpoint should return 404","api","2026-05-23","passed","2026-05-23","API | Users Negative Scenarios","api\users.spec.js","",""
"","285","TC_API_003 | Update user - PUT /api/users/{id}","api","2026-05-23","passed","2026-05-23","API | Users CRUD Scenarios","api\users.spec.js","",""
"","468","TC_API_001 | Should create a user and return 201 with correct fields","api","2026-05-23","passed","2026-05-23","API | CREATE User — POST /api/users","api\users.spec.js","",""
